Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,Price,company
Maruti Wagon R,Mumbai,2010,72000,CNG,Manual,First,26.6,998,5,1.75,Maruti
Hyundai Creta 1.6,Pune,2015,41000,Diesel,Manual,First,19.67,1582,5,12.5,Hyundai
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,5,4.5,Honda
Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,7,6,Maruti
Audi A4 New,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,5,17.74,Audi
Hyundai EON LPG,Hyderabad,2012,75000,LPG,Manual,First,21.1,814,5,2.35,Hyundai
Nissan Micra Diesel,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,5,3.5,Nissan
Toyota Innova Crysta,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,8,17.5,Toyota
Volkswagen Vento Diesel,Pune,2013,64430,Diesel,Manual,First,20.54,1598,5,5.2,Volkswagen
Tata Indica Vista,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,5,1.95,Tata
Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,5,9.95,Maruti
Honda City 1.5,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,5,4.49,Honda
Maruti Swift VDI,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,5,5.6,Maruti
Land Rover Range,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,5,27,Land
Land Rover Freelander,Pune,2012,85000,Diesel,Automatic,Second,0,2179,5,17.5,Land
Mitsubishi Pajero Sport,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,7,15,Mitsubishi
Honda Amaze S,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,5,5.4,Honda
Maruti Swift DDiS,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,5,5.99,Maruti
Renault Duster 85PS,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,5,6.34,Renault
